payment_id,order_id,date_key,method,amount,status
7000000000,1000000000,20241126,CARD,63636.0,PAID
7000000001,1000000001,20240131,GATEWAY,78146.4,PENDING
7000000002,1000000002,20250226,CARD,32064.6,PAID
7000000003,1000000003,20250301,CARD,30855.0,PAID
7000000004,1000000004,20240330,CARD,53451.75,PAID
7000000005,1000000005,20240312,CASH,29040.0,PAID
7000000006,1000000006,20250715,CARD,18442.5,REFUNDED
7000000007,1000000007,20241111,CARD,17535.0,PAID
7000000008,1000000008,20240825,CARD,109011.0,PAID
7000000009,1000000009,20240330,GATEWAY,16718.25,PAID
7000000010,1000000010,20240313,TRANSFER,17787.0,REFUNDED
7000000011,1000000011,20250617,CASH,41309.4,PAID
7000000012,1000000012,20240809,CARD,42688.8,PAID
7000000013,1000000013,20250323,CASH,123283.88,PAID
7000000014,1000000014,20250818,CARD,15129.6,PAID
7000000015,1000000015,20240915,CARD,29659.2,FAILED
7000000016,1000000016,20250827,GATEWAY,28642.8,PAID
7000000017,1000000017,20250219,CARD,80912.7,PAID
7000000018,1000000018,20240714,GATEWAY,100107.9,FAILED
7000000019,1000000019,20250421,CARD,46023.24,PAID
7000000020,1000000020,20240506,CARD,59895.0,PAID
7000000021,1000000021,20250923,CARD,29659.2,PAID
7000000022,1000000022,20240331,TRANSFER,29040.0,REFUNDED
7000000023,1000000023,20250705,CASH,82764.0,PAID
7000000024,1000000024,20250302,CARD,14229.6,PAID
7000000025,1000000025,20250826,CARD,86005.88,PAID
7000000026,1000000026,20241212,CARD,17535.0,PAID
7000000027,1000000027,20241202,CARD,28488.0,PAID
7000000028,1000000028,20240517,CARD,14520.0,PAID
7000000029,1000000029,20250914,CARD,79235.4,PAID
7000000030,1000000030,20250609,CARD,41382.0,PAID
7000000031,1000000031,20250510,CASH,28459.2,PAID
7000000032,1000000032,20250315,CARD,33870.0,PAID
7000000033,1000000033,20240608,CASH,17787.0,PAID
7000000034,1000000034,20241117,CASH,103318.88,PAID
7000000035,1000000035,20240112,CARD,26136.0,PAID
7000000036,1000000036,20240924,CARD,61158.0,PAID
7000000037,1000000037,20240126,CARD,31082.16,PAID
7000000038,1000000038,20240202,CARD,14229.6,PAID
7000000039,1000000039,20240523,CARD,71583.6,PAID
7000000040,1000000040,20240304,CARD,14994.0,FAILED
7000000041,1000000041,20240114,CASH,29657.1,PAID
7000000042,1000000042,20240927,GATEWAY,13914.6,PAID
7000000043,1000000043,20240521,CARD,48816.0,PAID
7000000044,1000000044,20250902,GATEWAY,90435.0,PAID
7000000045,1000000045,20240201,GATEWAY,44460.0,PAID
7000000046,1000000046,20240112,CARD,39930.0,PAID
7000000047,1000000047,20240308,CASH,13068.0,PAID
7000000048,1000000048,20240913,CARD,28459.2,PENDING
7000000049,1000000049,20240811,TRANSFER,49005.0,PAID
7000000050,1000000050,20240725,GATEWAY,35685.0,PAID
7000000051,1000000051,20240915,CARD,38252.7,PAID
7000000052,1000000052,20241104,CARD,85377.6,PAID
7000000053,1000000053,20240810,CARD,33570.0,FAILED
7000000054,1000000054,20240316,CASH,14941.08,PAID
7000000055,1000000055,20250723,CARD,51727.5,PAID
7000000056,1000000056,20250412,CARD,87140.25,PAID
7000000057,1000000057,20250221,CASH,34394.25,PAID
7000000058,1000000058,20240921,CARD,53953.5,FAILED
7000000059,1000000059,20240701,CARD,77682.0,PAID
7000000060,1000000060,20240225,CARD,35283.6,FAILED
7000000061,1000000061,20250301,CARD,15720.0,PAID
7000000062,1000000062,20241223,TRANSFER,54450.0,PAID
7000000063,1000000063,20240530,GATEWAY,46323.24,PAID
7000000064,1000000064,20250304,GATEWAY,19168.5,PAID
7000000065,1000000065,20240917,GATEWAY,43888.8,PAID
7000000066,1000000066,20240126,GATEWAY,43888.8,FAILED
7000000067,1000000067,20250411,GATEWAY,18687.0,REFUNDED
7000000068,1000000068,20241201,CARD,102166.35,PAID
