order_id,customer_id,channel_id,store_id,order_date,billing_address_id,shipping_address_id,status,currency_code,subtotal,tax_amount,shipping_fee,total_amount,order_item_id,product_id,quantity,unit_price,discount_amount,line_total,payment_method,total_paid,address_id,province_id,province_name,order_date_dt,date_key,full_date,year,quarter,month,month_name,day,day_of_week,day_name,full_date_dt
1000000000,356,1,,2024-11-26 07:50:47,2910.0,1595,FULFILLED,ARS,51600.0,10836.0,1200.0,63636.0,5000000000,2,2,15000.0,0.0,30000.0,CARD,63636.0,1595,1,Buenos Aires,2024-11-26,20241126,2024-11-26,2024,4,11,November,26,1,Tuesday,2024-11-26
1000000000,356,1,,2024-11-26 07:50:47,2910.0,1595,FULFILLED,ARS,51600.0,10836.0,1200.0,63636.0,5000000001,1,2,12000.0,2400.0,21600.0,CARD,63636.0,1595,1,Buenos Aires,2024-11-26,20241126,2024-11-26,2024,4,11,November,26,1,Tuesday,2024-11-26
1000000002,1234,1,,2025-02-26 19:39:44,1126.0,4063,FULFILLED,ARS,25260.0,5304.6,1500.0,32064.6,5000000005,1,1,12000.0,240.0,11760.0,CARD,32064.6,4063,1,Buenos Aires,2025-02-26,20250226,2025-02-26,2025,1,2,February,26,2,Wednesday,2025-02-26
1000000002,1234,1,,2025-02-26 19:39:44,1126.0,4063,FULFILLED,ARS,25260.0,5304.6,1500.0,32064.6,5000000006,2,1,15000.0,1500.0,13500.0,CARD,32064.6,4063,1,Buenos Aires,2025-02-26,20250226,2025-02-26,2025,1,2,February,26,2,Wednesday,2025-02-26
1000000003,156,1,,2025-03-01 17:35:36,3665.0,1507,FULFILLED,ARS,25500.0,5355.0,0.0,30855.0,5000000007,1,1,12000.0,1200.0,10800.0,CARD,30855.0,1507,1,Buenos Aires,2025-03-01,20250301,2025-03-01,2025,1,3,March,1,5,Saturday,2025-03-01
1000000003,156,1,,2025-03-01 17:35:36,3665.0,1507,FULFILLED,ARS,25500.0,5355.0,0.0,30855.0,5000000008,2,1,15000.0,300.0,14700.0,CARD,30855.0,1507,1,Buenos Aires,2025-03-01,20250301,2025-03-01,2025,1,3,March,1,5,Saturday,2025-03-01
1000000004,616,2,4.0,2024-03-30 02:46:36,1293.0,4,FULFILLED,ARS,44175.0,9276.75,0.0,53451.75,5000000009,2,2,15750.0,1575.0,29925.0,CARD,53451.75,4,4,Mendoza,2024-03-30,20240330,2024-03-30,2024,1,3,March,30,5,Saturday,2024-03-30
1000000004,616,2,4.0,2024-03-30 02:46:36,1293.0,4,FULFILLED,ARS,44175.0,9276.75,0.0,53451.75,5000000010,2,1,15000.0,750.0,14250.0,CARD,53451.75,4,4,Mendoza,2024-03-30,20240330,2024-03-30,2024,1,3,March,30,5,Saturday,2024-03-30
1000000005,614,2,2.0,2024-03-12 20:54:35,1723.0,2,FULFILLED,ARS,24000.0,5040.0,0.0,29040.0,5000000011,1,2,12000.0,0.0,24000.0,CASH,29040.0,2,2,CÃ³rdoba,2024-03-12,20240312,2024-03-12,2024,1,3,March,12,1,Tuesday,2024-03-12
1000000007,17,1,,2024-11-11 20:15:00,,3577,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0,5000000013,2,1,15000.0,1500.0,13500.0,CARD,17535.0,3577,1,Buenos Aires,2024-11-11,20241111,2024-11-11,2024,4,11,November,11,0,Monday,2024-11-11
1000000008,1148,1,,2024-08-25 03:29:28,2018.0,1490,FULFILLED,ARS,89100.0,18711.0,1200.0,109011.0,5000000014,1,3,12000.0,0.0,36000.0,CARD,109011.0,1490,1,Buenos Aires,2024-08-25,20240825,2024-08-25,2024,3,8,August,25,6,Sunday,2024-08-25
1000000008,1148,1,,2024-08-25 03:29:28,2018.0,1490,FULFILLED,ARS,89100.0,18711.0,1200.0,109011.0,5000000015,2,3,15000.0,4500.0,40500.0,CARD,109011.0,1490,1,Buenos Aires,2024-08-25,20240825,2024-08-25,2024,3,8,August,25,6,Sunday,2024-08-25
1000000008,1148,1,,2024-08-25 03:29:28,2018.0,1490,FULFILLED,ARS,89100.0,18711.0,1200.0,109011.0,5000000016,1,1,12600.0,0.0,12600.0,CARD,109011.0,1490,1,Buenos Aires,2024-08-25,20240825,2024-08-25,2024,3,8,August,25,6,Sunday,2024-08-25
1000000009,1037,1,,2024-03-30 10:34:46,1097.0,1974,PAID,ARS,12825.0,2693.25,1200.0,16718.25,5000000017,2,1,13500.0,675.0,12825.0,GATEWAY,16718.25,1974,3,Santa Fe,2024-03-30,20240330,2024-03-30,2024,1,3,March,30,5,Saturday,2024-03-30
1000000011,1239,2,4.0,2025-06-17 03:46:29,2159.0,4,FULFILLED,ARS,34140.0,7169.4,0.0,41309.4,5000000019,2,1,15000.0,300.0,14700.0,CASH,41309.4,4,4,Mendoza,2025-06-17,20250617,2025-06-17,2025,2,6,June,17,1,Tuesday,2025-06-17
1000000011,1239,2,4.0,2025-06-17 03:46:29,2159.0,4,FULFILLED,ARS,34140.0,7169.4,0.0,41309.4,5000000020,1,2,10800.0,2160.0,19440.0,CASH,41309.4,4,4,Mendoza,2025-06-17,20250617,2025-06-17,2025,2,6,June,17,1,Tuesday,2025-06-17
1000000012,1426,2,3.0,2024-08-09 14:38:29,3389.0,3,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8,5000000021,1,3,12000.0,720.0,35280.0,CARD,42688.8,3,3,Santa Fe,2024-08-09,20240809,2024-08-09,2024,3,8,August,9,4,Friday,2024-08-09
1000000013,862,2,1.0,2025-03-23 11:26:14,1342.0,1,PAID,ARS,101887.5,21396.38,0.0,123283.88,5000000022,2,3,15750.0,2362.5,44887.5,CASH,123283.88,1,1,Buenos Aires,2025-03-23,20250323,2025-03-23,2025,1,3,March,23,6,Sunday,2025-03-23
1000000013,862,2,1.0,2025-03-23 11:26:14,1342.0,1,PAID,ARS,101887.5,21396.38,0.0,123283.88,5000000023,1,3,12000.0,1800.0,34200.0,CASH,123283.88,1,1,Buenos Aires,2025-03-23,20250323,2025-03-23,2025,1,3,March,23,6,Sunday,2025-03-23
1000000013,862,2,1.0,2025-03-23 11:26:14,1342.0,1,PAID,ARS,101887.5,21396.38,0.0,123283.88,5000000024,1,2,12000.0,1200.0,22800.0,CASH,123283.88,1,1,Buenos Aires,2025-03-23,20250323,2025-03-23,2025,1,3,March,23,6,Sunday,2025-03-23
1000000014,181,1,,2025-08-18 12:46:12,2238.0,3917,PAID,ARS,11760.0,2469.6,900.0,15129.6,5000000025,1,1,12000.0,240.0,11760.0,CARD,15129.6,3917,1,Buenos Aires,2025-08-18,20250818,2025-08-18,2025,3,8,August,18,0,Monday,2025-08-18
1000000016,475,1,,2025-08-27 22:46:32,1585.0,3558,FULFILLED,ARS,22680.0,4762.8,1200.0,28642.8,5000000027,1,2,12600.0,2520.0,22680.0,GATEWAY,28642.8,3558,1,Buenos Aires,2025-08-27,20250827,2025-08-27,2025,3,8,August,27,2,Wednesday,2025-08-27
1000000017,753,2,2.0,2025-02-19 14:36:04,3052.0,2,FULFILLED,ARS,66870.0,14042.7,0.0,80912.7,5000000028,2,2,15750.0,630.0,30870.0,CARD,80912.7,2,2,CÃ³rdoba,2025-02-19,20250219,2025-02-19,2025,1,2,February,19,2,Wednesday,2025-02-19
1000000017,753,2,2.0,2025-02-19 14:36:04,3052.0,2,FULFILLED,ARS,66870.0,14042.7,0.0,80912.7,5000000029,1,3,12000.0,0.0,36000.0,CARD,80912.7,2,2,CÃ³rdoba,2025-02-19,20250219,2025-02-19,2025,1,2,February,19,2,Wednesday,2025-02-19
1000000019,793,1,,2025-04-21 04:12:18,2523.0,3612,FULFILLED,ARS,37044.0,7779.24,1200.0,46023.24,5000000033,1,3,12600.0,756.0,37044.0,CARD,46023.24,3612,1,Buenos Aires,2025-04-21,20250421,2025-04-21,2025,2,4,April,21,0,Monday,2025-04-21
1000000020,866,1,,2024-05-06 01:36:24,3933.0,3374,FULFILLED,ARS,49500.0,10395.0,0.0,59895.0,5000000034,2,3,16500.0,0.0,49500.0,CARD,59895.0,3374,1,Buenos Aires,2024-05-06,20240506,2024-05-06,2024,2,5,May,6,0,Monday,2024-05-06
1000000021,1110,1,,2025-09-23 22:05:51,3246.0,2545,FULFILLED,ARS,23520.0,4939.2,1200.0,29659.2,5000000035,1,2,12000.0,480.0,23520.0,CARD,29659.2,2545,1,Buenos Aires,2025-09-23,20250923,2025-09-23,2025,3,9,September,23,1,Tuesday,2025-09-23
1000000023,379,2,3.0,2025-07-05 19:42:57,3098.0,3,FULFILLED,ARS,68400.0,14364.0,0.0,82764.0,5000000037,2,2,15000.0,600.0,29400.0,CASH,82764.0,3,3,Santa Fe,2025-07-05,20250705,2025-07-05,2025,3,7,July,5,5,Saturday,2025-07-05
1000000023,379,2,3.0,2025-07-05 19:42:57,3098.0,3,FULFILLED,ARS,68400.0,14364.0,0.0,82764.0,5000000038,1,1,12000.0,0.0,12000.0,CASH,82764.0,3,3,Santa Fe,2025-07-05,20250705,2025-07-05,2025,3,7,July,5,5,Saturday,2025-07-05
1000000023,379,2,3.0,2025-07-05 19:42:57,3098.0,3,FULFILLED,ARS,68400.0,14364.0,0.0,82764.0,5000000039,2,2,15000.0,3000.0,27000.0,CASH,82764.0,3,3,Santa Fe,2025-07-05,20250705,2025-07-05,2025,3,7,July,5,5,Saturday,2025-07-05
1000000024,441,2,2.0,2025-03-02 15:57:05,1528.0,2,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6,5000000040,1,1,12000.0,240.0,11760.0,CARD,14229.6,2,2,CÃ³rdoba,2025-03-02,20250302,2025-03-02,2025,1,3,March,2,6,Sunday,2025-03-02
1000000025,125,1,,2025-08-26 06:57:45,2981.0,1512,FULFILLED,ARS,70087.5,14718.38,1200.0,86005.88,5000000041,2,3,15750.0,2362.5,44887.5,CARD,86005.88,1512,2,CÃ³rdoba,2025-08-26,20250826,2025-08-26,2025,3,8,August,26,1,Tuesday,2025-08-26
1000000025,125,1,,2025-08-26 06:57:45,2981.0,1512,FULFILLED,ARS,70087.5,14718.38,1200.0,86005.88,5000000042,1,2,12600.0,0.0,25200.0,CARD,86005.88,1512,2,CÃ³rdoba,2025-08-26,20250826,2025-08-26,2025,3,8,August,26,1,Tuesday,2025-08-26
1000000026,1201,1,,2024-12-12 23:59:48,4164.0,1297,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0,5000000043,2,1,15000.0,1500.0,13500.0,CARD,17535.0,1297,1,Buenos Aires,2024-12-12,20241212,2024-12-12,2024,4,12,December,12,3,Thursday,2024-12-12
1000000027,1055,1,,2024-12-02 01:44:59,3321.0,2858,FULFILLED,ARS,22800.0,4788.0,900.0,28488.0,5000000044,1,2,12000.0,1200.0,22800.0,CARD,28488.0,2858,1,Buenos Aires,2024-12-02,20241202,2024-12-02,2024,4,12,December,2,0,Monday,2024-12-02
